기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액,총_상주인구_수,남성_상주인구_수,여성_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,남성연령대_10_상주인구_수,남성연령대_20_상주인구_수,남성연령대_30_상주인구_수,남성연령대_40_상주인구_수,남성연령대_50_상주인구_수,남성연령대_60_이상_상주인구_수,여성연령대_10_상주인구_수,여성연령대_20_상주인구_수,여성연령대_30_상주인구_수,여성연령대_40_상주인구_수,여성연령대_50_상주인구_수,여성연령대_60_이상_상주인구_수,총_가구_수,아파트_가구_수,비_아파트_가구_수,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적
20244,A,골목상권,3110002,독립문역 1번,CS100010,커피-음료,52689606,6343,41733772,10955834,8715094,7163261,8898117,9669036,7288264,7631965,3323869,0,7935537,19094669,16348077,8314534,996789,17279059,30196492,512256,2532644,10213651,9940939,12158951,12117107,4931,1412,956,908,1161,962,944,957,455,0,740,2284,1999,1311,9,2097,3935,89,323,1132,1263,1704,1520,3463885.0,7.0,232465205.0,54998987.0,28932090.0,17084860.0,28271372.0,40933079.0,10180461.0,6575012.0,35805283.0,9684061.0,415.0,204.0,211.0,66.0,49.0,43.0,61.0,75.0,121.0,30.0,25.0,26.0,31.0,42.0,50.0,36.0,24.0,17.0,30.0,33.0,71.0,185.0,0.0,185.0,513161.0,225489.0,287672.0,92274.0,58310.0,63989.0,78351.0,78319.0,141919.0,115082.0,109376.0,66112.0,67746.0,89986.0,64859.0,71867.0,73728.0,74776.0,73131.0,73527.0,74233.0,71900.0,2,4,0,0,0,0,2,196220,452912,11110,종로구,11110570,무악동,31531
20244,A,골목상권,3110003,세검정초등학교,CS100010,커피-음료,30580207,4031,19665115,10915092,2452429,3233993,3402927,5456197,5119569,6429873,4485219,0,3521322,13928396,10016147,3114342,0,14719773,14073609,285340,2333038,3319983,4978770,5607216,12269034,2503,1528,418,459,547,467,612,812,716,0,646,1657,1236,492,0,2035,1753,67,432,550,733,941,1065,3474789.0,7.0,1349699230.0,336704220.0,166150296.0,98720958.0,170559024.0,227367090.0,54707608.0,39088030.0,199219764.0,57182240.0,3020.0,1405.0,1615.0,500.0,332.0,342.0,501.0,542.0,803.0,235.0,177.0,163.0,222.0,237.0,371.0,265.0,155.0,179.0,279.0,305.0,432.0,1239.0,0.0,1239.0,338321.0,157851.0,180470.0,83633.0,37705.0,30781.0,50196.0,54710.0,81295.0,93359.0,68460.0,37424.0,37386.0,54529.0,47163.0,48809.0,48836.0,49319.0,49229.0,48851.0,46658.0,46619.0,4,6,0,0,0,0,2,196389,455998,11110,종로구,11110550,부암동,191570
20244,A,골목상권,3110006,부암동주민센터,CS100010,커피-음료,61513696,4605,34064575,27449121,3731177,4090343,6963667,10751526,8527862,15653344,11795777,0,523760,14048872,23666710,17104775,6169579,23402404,38111292,298063,11597192,15729234,11047622,14291381,8550204,2578,2027,305,387,545,763,578,1144,883,0,43,1068,1766,1281,447,1741,2864,37,1034,1269,753,989,523,3963935.0,8.0,267177363.0,71242932.0,32618743.0,19192280.0,36992515.0,42702682.0,11024632.0,7714004.0,34834591.0,10854984.0,445.0,209.0,236.0,47.0,50.0,62.0,64.0,81.0,141.0,25.0,30.0,30.0,24.0,38.0,62.0,22.0,20.0,32.0,40.0,43.0,79.0,221.0,0.0,221.0,8844.0,3156.0,5688.0,810.0,831.0,1013.0,1315.0,1326.0,3549.0,1998.0,1938.0,1139.0,1240.0,1437.0,1093.0,1089.0,1177.0,1248.0,1195.0,1268.0,1465.0,1403.0,3,3,0,0,0,0,0,196701,454714,11110,종로구,11110550,부암동,91486
20244,A,골목상권,3110008,배화여자대학교(박노수미술관),CS100010,커피-음료,2224240602,162475,1370326477,853914125,186485839,273069215,321978643,285724681,303068099,445208703,408705422,4231391,169876856,704164871,876815278,433537345,35614861,634975147,1548739618,30312821,782363946,682855278,315437376,266634031,106111312,108581,53894,17480,22703,23649,22005,22744,28695,25199,87,22010,54786,57693,26985,914,47302,113282,3952,56443,47985,24688,20938,6585,3443668.0,7.0,2746062777.0,683186826.0,329541269.0,198922162.0,341873952.0,461869492.0,103948914.0,80125777.0,434007126.0,112587259.0,4306.0,1904.0,2402.0,597.0,519.0,565.0,733.0,778.0,1114.0,285.0,234.0,253.0,324.0,352.0,456.0,312.0,285.0,312.0,409.0,426.0,658.0,2001.0,0.0,2001.0,1250106.0,491442.0,758665.0,236027.0,172670.0,192491.0,213447.0,194345.0,241126.0,310650.0,250349.0,169075.0,159182.0,206326.0,154524.0,178547.0,179228.0,180705.0,181247.0,176759.0,179069.0,174553.0,46,46,0,0,4,2,0,197093,453418,11110,종로구,11110515,청운효자동,149264
20244,A,골목상권,3110009,자하문터널,CS100010,커피-음료,192650250,8322,78133210,114517040,177177,5433974,22205791,24919813,25396455,56296323,58220717,1600145,306213,24087370,78079322,54472725,34104475,55378598,132296702,2941679,73580066,52374838,22641905,26873690,9263124,3358,4964,20,266,966,1014,1092,2487,2477,44,22,1128,3489,2489,1150,2488,5785,178,3171,2229,1104,1145,444,3702978.0,7.0,982492942.0,236811262.0,122600914.0,72225683.0,119525631.0,171575865.0,41212214.0,28357226.0,148304362.0,41879785.0,1540.0,757.0,783.0,185.0,180.0,241.0,266.0,287.0,381.0,103.0,103.0,128.0,123.0,128.0,172.0,82.0,77.0,113.0,143.0,159.0,209.0,725.0,0.0,725.0,166646.0,75631.0,91014.0,19351.0,19730.0,23002.0,30603.0,29456.0,44502.0,48765.0,33644.0,19224.0,18823.0,24299.0,21892.0,22473.0,22784.0,23688.0,23585.0,23698.0,25574.0,24844.0,14,14,0,0,0,0,0,196991,455057,11110,종로구,11110550,부암동,178306
20244,A,골목상권,3110012,성곡미술관,CS100010,커피-음료,514866879,41864,397266610,117600269,61344956,78327183,87718152,84224874,85651445,60790698,56809571,0,58325624,292945971,105181707,58279009,134568,181019922,241749899,1563725,64615259,119106478,102571398,87199955,47713008,33081,8783,5594,6771,7025,6206,7485,4755,4028,0,5598,22051,9387,4821,7,16081,20347,134,6243,10570,8672,7569,3237,5448355.0,9.0,1224738411.0,273854172.0,152375434.0,97840852.0,143955451.0,223172184.0,55335090.0,34182648.0,193085753.0,50936827.0,2099.0,927.0,1172.0,307.0,250.0,279.0,357.0,387.0,519.0,134.0,106.0,113.0,157.0,187.0,230.0,173.0,144.0,166.0,200.0,200.0,289.0,980.0,0.0,980.0,574613.0,249196.0,325417.0,50872.0,71024.0,111525.0,121684.0,102570.0,116939.0,101358.0,124071.0,98344.0,95760.0,100636.0,54444.0,85639.0,86229.0,86180.0,86729.0,86801.0,71720.0,71316.0,12,12,0,0,0,0,0,197292,452641,11110,종로구,11110530,사직동,124348
20244,A,골목상권,3110013,체부동홍종문가옥,CS100010,커피-음료,42881474,2882,24341617,18539857,3192636,4209672,5601924,5873228,5464157,10124746,8415111,0,0,10840386,16776150,14502749,762189,10445141,32436333,714082,20428950,11966277,3383131,4231337,2157697,1745,1137,240,316,395,385,409,605,532,0,0,800,1090,931,61,715,2167,47,1353,806,240,297,139,3732442.0,7.0,190109278.0,47549857.0,23715458.0,14588549.0,23273330.0,31499997.0,8440927.0,5717126.0,27452725.0,7871309.0,353.0,166.0,187.0,43.0,49.0,58.0,59.0,55.0,89.0,20.0,23.0,24.0,31.0,28.0,40.0,23.0,26.0,34.0,28.0,27.0,49.0,199.0,0.0,199.0,139097.0,54245.0,84851.0,24771.0,21024.0,22835.0,23386.0,20365.0,26718.0,28487.0,27567.0,21688.0,21062.0,24819.0,15476.0,19601.0,19687.0,20033.0,20231.0,19903.0,20486.0,19157.0,3,3,0,0,0,0,0,197340,453202,11110,종로구,11110530,사직동,17064
20244,A,골목상권,3110014,경복고등학교,CS100010,커피-음료,18028716,1891,11780713,6248003,1318176,2211635,2480968,3418453,2351481,4086608,2161395,0,2118406,6461394,9195122,253794,0,6440677,8762636,77692,1887919,4857311,2374790,3923452,2082149,1223,668,140,254,285,300,244,445,223,0,196,736,933,26,0,643,1063,10,249,513,296,414,223,5290159.0,9.0,246628270.0,60033663.0,29847166.0,17931705.0,30512782.0,42137551.0,9425497.0,7095605.0,39330058.0,10314243.0,678.0,313.0,365.0,133.0,90.0,72.0,124.0,124.0,135.0,69.0,49.0,25.0,53.0,57.0,60.0,64.0,41.0,47.0,71.0,67.0,75.0,286.0,0.0,286.0,42552.0,19932.0,22620.0,12239.0,4234.0,4724.0,6624.0,6007.0,8726.0,4662.0,10587.0,9257.0,8629.0,6407.0,3010.0,6051.0,5802.0,6291.0,6267.0,6214.0,6086.0,5842.0,7,7,0,0,0,0,0,197484,453952,11110,종로구,11110515,청운효자동,63411
20244,A,골목상권,3110015,청와대사랑채,CS100010,커피-음료,267624275,21768,180174689,87449586,36311168,36794218,27932532,39834663,39302108,47623791,39825795,0,7671979,120991772,95699439,43261085,0,80485891,165615661,1235774,74362568,83053826,49439319,27598653,10411416,14405,7363,3043,2704,2061,3225,3372,4020,3343,0,1145,9589,7455,3579,0,6678,14170,104,6182,7428,3928,2272,935,3980058.0,8.0,340654450.0,82062934.0,41584595.0,24596132.0,41047707.0,58114084.0,13813568.0,9787602.0,55694208.0,13953620.0,550.0,243.0,307.0,80.0,61.0,98.0,88.0,97.0,126.0,36.0,31.0,38.0,44.0,42.0,52.0,44.0,30.0,60.0,44.0,55.0,74.0,246.0,0.0,246.0,59489.0,26194.0,33294.0,8149.0,8697.0,10216.0,11351.0,9519.0,11560.0,6906.0,11544.0,11898.0,12848.0,10815.0,5479.0,8425.0,7922.0,8754.0,8748.0,8665.0,8807.0,8167.0,3,3,0,0,0,0,0,197585,453623,11110,종로구,11110515,청운효자동,69399
20244,A,골목상권,3110016,평창동동측,CS100010,커피-음료,70156287,3540,47585445,22570842,11195577,9026944,8753051,11908075,6701798,11051893,11518949,0,779637,27885441,23378272,16574879,1538058,31060203,32661142,0,1923772,7119211,12778912,24675037,17224414,2364,1176,589,436,401,588,350,560,616,0,64,1230,1288,862,96,1647,1594,0,148,408,640,1200,844,4884771.0,8.0,1635958594.0,408705625.0,205647377.0,128448029.0,224885242.0,302457726.0,67401456.0,46565711.0,178212076.0,73635352.0,1896.0,907.0,989.0,250.0,186.0,213.0,230.0,330.0,687.0,137.0,100.0,102.0,106.0,144.0,318.0,113.0,86.0,111.0,124.0,186.0,369.0,776.0,0.0,776.0,23597.0,9504.0,14092.0,2775.0,3799.0,2426.0,3528.0,4153.0,6915.0,3081.0,5221.0,4682.0,4761.0,4062.0,1790.0,3420.0,3455.0,3638.0,3389.0,2985.0,3301.0,3410.0,5,5,0,0,20,1,0,197827,457040,11110,종로구,11110560,평창동,522818
