상권_코드,상권_코드_명,kmeans_cluster,상권유형
3110002,독립문역 1번,1,쇠퇴상권
3110003,세검정초등학교,1,쇠퇴상권
3110006,부암동주민센터,1,정체상권
3110008,배화여자대학교(박노수미술관),0,성장상권
3110009,자하문터널,1,기대상권
3110012,성곡미술관,1,성장상권
3110013,체부동홍종문가옥,1,기대상권
3110014,경복고등학교,1,쇠퇴상권
3110015,청와대사랑채,0,성장상권
3110016,평창동동측,1,기대상권
3110017,정독도서관,1,전통강호상권
3110018,중앙고등학교,1,기대상권
3110019,창덕궁,2,성장상권
3110020,서울국제고등학교,2,기대상권
3110021,성균관대학교,2,성장상권
3110022,경신고등학교,1,기대상권
3110023,서울대병원,0,전통강호상권
3110024,혜회동주민센터,1,쇠퇴상권
3110027,혜화역 1번,2,쇠퇴상권
3110028,이화달팽이길,2,쇠퇴상권
3110029,동대문역 1번,2,쇠퇴상권
3110035,동묘앞역 2번,2,기대상권
3110038,경향신문사,0,성장상권
3110040,중구회현체육센터(정화예술대남산캠퍼스),2,정체상권
3110041,남산케이블카,2,기대상권
3110043,충무초등학교,2,기대상권
3110045,동대문역사문화공원역 5번,2,정체상권
3110048,장충동주민센터,2,정체상권
3110049,장충단 고개,2,쇠퇴상권
3110054,청구역 3번,2,기대상권
3110056,신당역 3번,2,정체상권
3110058,성심여자고등학교,2,전통강호상권
3110059,새남터성지,2,쇠퇴상권
3110060,효창공원앞역 6번,2,쇠퇴상권
3110061,효창동주민센터,2,쇠퇴상권
3110062,한강로동땡땡거리(은행나무길),2,정체상권
3110063,효창공원앞역 5번,2,쇠퇴상권
3110064,효창공원앞역 2번,2,쇠퇴상권
3110066,서울역 15번,2,기대상권
3110067,배문고등학교,2,기대상권
3110068,남영역 1번,1,성장상권
3110069,숙대입구,2,성장상권
3110074,서울역 12번,0,성장상권
3110075,숙대입구역 1번,2,성장상권
3110076,삼각지역 14번,0,성장상권
3110077,삼광초등학교,2,전통강호상권
3110079,후암동주민센터,2,기대상권
3110081,해방촌 남동측,2,쇠퇴상권
3110082,용산구청,0,성장상권
3110083,서빙고역 1번,2,쇠퇴상권
3110084,경리단길북측,2,쇠퇴상권
3110085,경리단길남측,2,정체상권
3110087,이태원엔틱가구거리,0,전통강호상권
3110090,한국폴리텍대학서울정수캠퍼스,2,기대상권
3110091,리움미술관,1,성장상권
3110093,우사단길,2,정체상권
3110095,한강진역 3번,1,쇠퇴상권
3110096,한남힐사이드아파트,1,성장상권
3110098,서울독일학교,2,쇠퇴상권
3110102,옥수역 6번,2,정체상권
3110105,금동어린이공원,2,기대상권
3110107,금호사거리,2,쇠퇴상권
3110109,금호삼성래미안아파트,2,쇠퇴상권
3110110,상왕십리역 6번,2,기대상권
3110112,행당역 2번,2,기대상권
3110113,응봉산,2,정체상권
3110115,상왕십리역 3번,2,기대상권
3110118,왕십리역 9번,1,성장상권
3110120,서울숲카페거리,1,쇠퇴상권
3110121,한양대역 4번,2,정체상권
3110122,마장역 2번,2,쇠퇴상권
3110124,뚝섬역교차로,0,성장상권
3110125,사근동살곶이상점가,2,기대상권
3110126,서울숲역 1번,2,기대상권
3110127,성수1가1동주민센터,2,기대상권
3110128,성원중학교,2,쇠퇴상권
3110129,성원어린이공원,2,쇠퇴상권
3110131,성수동카페거리,2,기대상권
